,file_name,total_lines,covered_lines,uncovered_lines
0,constants.ts,0,0,0
1,rich_text_components_definitions.ts,0,0,0
2,App.ts,117,105,12
3,I18nFooter.ts,24,10,14
4,app.constants.ajs.ts,48,48,0
5,app.constants.ts,1,1,0
6,google-analytics.initializer.ts,8,2,6
7,karma.module.ts,1,1,0
8,mathjaxConfig.ts,1,1,0
9,base-content.directive.ts,41,9,32
10,loading-message.component.ts,1,1,0
11,oppia-root.directive.ts,11,1,10
12,warnings-and-alerts.directive.ts,6,2,4
13,material.module.ts,1,1,0
14,oppia-angular-root.component.ts,520,520,0
15,angular-html-bind-wrapper.directive.ts,10,10,0
16,create-activity-button.directive.ts,39,7,32
17,exploration-embed-button-modal.component.ts,14,14,0
18,hint-and-solution-buttons.directive.ts,72,10,62
19,social-buttons.component.ts,9,1,8
20,ck-editor-4-rte.directive.ts,91,5,86
21,ck-editor-4-widgets.initializer.ts,68,18,50
22,ck-editor-copy-content-service.ts,53,53,0
23,ck-editor-copy-toolbar.component.ts,13,13,0
24,alert-message.directive.ts,11,1,10
25,answer-content-modal.controller.ts,3,3,0
26,attribution-guide.component.ts,35,35,0
27,background-banner.component.ts,7,2,5
28,confirm-or-cancel-modal.component.ts,3,3,0
29,confirm-or-cancel-modal.controller.ts,6,6,0
30,lazy-loading.component.ts,2,2,0
31,loading-dots.component.ts,2,2,0
32,promo-bar.component.ts,24,24,0
33,sharing-links.component.ts,42,8,34
34,side-navigation-bar.directive.ts,11,2,9
35,top-navigation-bar.directive.ts,142,12,130
36,concept-card.directive.ts,31,4,27
37,collection-creation-backend-api.service.ts,10,10,0
38,collection-creation.service.ts,22,22,0
39,exploration-creation.service.ts,39,14,25
40,skill-creation.service.ts,33,16,17
41,story-creation.service.ts,29,9,20
42,topic-creation.service.ts,36,19,17
43,apply-validation.directive.ts,18,18,0
44,audio-file-uploader.component.ts,28,18,10
45,edit-thumbnail-modal.controller.ts,60,60,0
46,html-select.directive.ts,10,3,7
47,image-uploader.component.ts,50,6,44
48,object-editor.directive.ts,20,1,19
49,require-is-float.directive.ts,9,9,0
50,select2-dropdown.directive.ts,30,3,27
51,thumbnail-display.component.ts,21,21,0
52,thumbnail-uploader.directive.ts,88,10,78
53,schema-based-bool-editor.directive.ts,2,1,1
54,schema-based-choices-editor.directive.ts,8,2,6
55,schema-based-custom-editor.directive.ts,4,3,1
56,schema-based-dict-editor.directive.ts,12,4,8
57,schema-based-editor.directive.ts,18,17,1
58,schema-based-expression-editor.directive.ts,2,1,1
59,schema-based-float-editor.directive.ts,46,7,39
60,schema-based-html-editor.directive.ts,4,3,1
61,schema-based-int-editor.directive.ts,11,3,8
62,schema-based-list-editor.directive.ts,94,8,86
63,schema-based-unicode-editor.directive.ts,49,7,42
64,schema-constants.ts,10,10,0
65,schema-based-custom-viewer.directive.ts,4,3,1
66,schema-based-dict-viewer.directive.ts,7,4,3
67,schema-based-html-viewer.directive.ts,3,2,1
68,schema-based-list-viewer.directive.ts,5,4,1
69,schema-based-primitive-viewer.directive.ts,5,2,3
70,schema-based-unicode-viewer.directive.ts,6,3,3
71,schema-based-viewer.directive.ts,9,8,1
72,is-at-least.filter.ts,3,3,0
73,is-at-most.filter.ts,3,3,0
74,is-float.filter.ts,12,12,0
75,is-integer.filter.ts,3,3,0
76,is-nonempty.filter.ts,3,3,0
77,is-url-fragment.filter.ts,4,4,0
78,graph-layout.service.ts,221,29,192
79,keyboard-shortcut-help-modal.component.ts,16,16,0
80,on-screen-keyboard.component.ts,46,46,0
81,profile-link-image-backend-api.service.ts,5,5,0
82,profile-link-image.component.ts,11,3,8
83,profile-link-text.component.ts,4,3,1
84,question-difficulty-selector.directive.ts,8,2,6
85,question-editor-modal.controller.ts,77,77,0
86,question-editor.directive.ts,107,11,96
87,question-misconception-editor.component.ts,56,56,0
88,tag-misconception-modal.controller.ts,13,13,0
89,question-misconception-selector.component.ts,11,11,0
90,question-player-concept-card-modal.controller.ts,17,17,0
91,question-player.constants.ajs.ts,10,10,0
92,question-player.constants.ts,1,1,0
93,question-player.directive.ts,277,53,224
94,skill-mastery-modal.controller.ts,9,9,0
95,question-player-state.service.ts,30,30,0
96,questions-list.constants.ajs.ts,3,3,0
97,questions-list.constants.ts,1,1,0
98,questions-list.directive.ts,294,28,266
99,rating-computation.service.ts,15,15,0
100,rating-display.directive.ts,36,24,12
101,review-material-editor.directive.ts,29,11,18
102,rubrics-editor.directive.ts,80,14,66
103,score-ring.directive.ts,24,1,23
104,skill-mastery.component.ts,18,18,0
105,merge-skill-modal.controller.ts,14,14,0
106,questions-list-select-skill-modal.controller.ts,10,10,0
107,select-skill-modal.controller.ts,22,22,0
108,skill-selector.component.ts,86,9,77
109,skills-mastery-list-concept-card-modal.controller.ts,6,6,0
110,skills-mastery-list.constants.ajs.ts,2,2,0
111,skills-mastery-list.constants.ts,1,1,0
112,skills-mastery-list.directive.ts,32,6,26
113,answer-group-editor.directive.ts,140,16,124
114,summary-list-header.component.ts,12,10,2
115,hint-editor.directive.ts,39,8,31
116,outcome-destination-editor.directive.ts,74,9,65
117,outcome-editor.directive.ts,99,9,90
118,outcome-feedback-editor.directive.ts,8,4,4
119,response-header.directive.ts,30,6,24
120,rule-editor.directive.ts,99,13,86
121,rule-type-selector.directive.ts,30,6,24
122,solution-editor.directive.ts,22,14,8
123,solution-explanation-editor.directive.ts,34,7,27
124,state-editor.constants.ajs.ts,1,1,0
125,state-editor.constants.ts,1,1,0
126,state-editor.directive.ts,58,16,42
127,state-content-editor.directive.ts,55,10,45
128,state-content.service.ts,4,4,0
129,state-customization-args.service.ts,6,6,0
130,state-editor.service.ts,93,75,18
131,state-hints.service.ts,8,8,0
132,state-interaction-id.service.ts,6,6,0
133,state-name.service.ts,10,10,0
134,state-next-content-id-index.service.ts,4,4,0
135,state-param-changes.service.ts,4,4,0
136,state-property.service.ts,24,21,3
137,state-recorded-voiceovers.service.ts,4,4,0
138,state-solicit-answer-details.service.ts,4,4,0
139,state-solution.service.ts,4,4,0
140,state-written-translations.service.ts,4,4,0
141,state-hints-editor.directive.ts,100,19,81
142,state-interaction-editor.directive.ts,120,21,99
143,state-responses.directive.ts,332,39,293
144,state-solution-editor.directive.ts,81,24,57
145,completion-graph.component.ts,3,3,0
146,collection-summary-tile.component.ts,28,28,0
147,collection-summary-tile.constants.ts,1,1,0
148,exploration-summary-tile.component.ts,82,82,0
149,story-summary-tile.directive.ts,76,10,66
150,subtopic-summary-tile.directive.ts,20,9,11
151,topic-summary-tile.directive.ts,23,4,19
152,codemirror-mergeview.directive.ts,16,1,15
153,version-diff-visualization.directive.ts,104,5,99
154,angular-html-bind.directive.ts,12,11,1
155,focus-on.directive.ts,21,4,17
156,mathjax-bind.directive.ts,10,2,8
157,admin-backend-api.service.ts,99,99,0
158,computation-data.model.ts,9,9,0
159,job-status-summary.model.ts,3,3,0
160,job.model.ts,11,11,0
161,answer-classification-result.model.ts,4,4,0
162,classifier.model.ts,4,4,0
163,prediction-result.model.ts,4,4,0
164,classroom-backend-api.service.ts,24,24,0
165,classroom-data.model.ts,11,11,0
166,classroom-domain.constants.ajs.ts,4,4,0
167,classroom-domain.constants.ts,1,1,0
168,collection-domain.constants.ts,1,1,0
169,collection-node.model.ts,15,12,3
170,collection-playthrough.model.ts,10,10,0
171,collection-rights-backend-api.service.ts,39,39,0
172,collection-rights.model.ts,25,25,0
173,collection-summary.model.ts,13,13,0
174,collection-update.service.ts,61,55,6
175,collection-validation.service.ts,30,30,0
176,collection.model.ts,85,81,4
177,editable-collection-backend-api.service.ts,25,23,2
178,guest-collection-progress.model.ts,15,15,0
179,guest-collection-progress.service.ts,25,25,0
180,read-only-collection-backend-api.service.ts,34,31,3
181,search-explorations-backend-api.service.ts,13,13,0
182,creator-dashboard-backend-api.service.ts,31,31,0
183,creator-dashboard-stats.model.ts,5,5,0
184,base-undo-redo.service.ts,38,38,0
185,change.model.ts,7,7,0
186,question-undo-redo.service.ts,4,4,0
187,undo-redo.service.ts,3,3,0
188,email-dashboard-backend-api.service.ts,23,23,0
189,email-dashboard-query-results.model.ts,6,6,0
190,email-dashboard-query.model.ts,7,7,0
191,AnswerGroupObjectFactory.ts,14,14,0
192,ExplorationObjectFactory.ts,69,69,0
193,HintObjectFactory.ts,7,7,0
194,InteractionObjectFactory.ts,112,112,0
195,LostChangeObjectFactory.ts,44,44,0
196,OutcomeObjectFactory.ts,15,15,0
197,ParamChangeObjectFactory.ts,11,11,0
198,ParamChangesObjectFactory.ts,5,5,0
199,ParamSpecObjectFactory.ts,8,8,0
200,ParamSpecsObjectFactory.ts,23,23,0
201,ParamTypeObjectFactory.ts,20,20,0
202,RecordedVoiceoversObjectFactory.ts,52,52,0
203,RuleObjectFactory.ts,22,22,0
204,SolutionObjectFactory.ts,43,43,0
205,StatesObjectFactory.ts,83,83,0
206,SubtitledHtmlObjectFactory.ts,12,12,0
207,SubtitledUnicodeObjectFactory.ts,12,12,0
208,VoiceoverObjectFactory.ts,13,13,0
209,WrittenTranslationObjectFactory.ts,24,24,0
210,WrittenTranslationsObjectFactory.ts,53,53,0
211,answer-stats.model.ts,11,11,0
212,editable-exploration-backend-api.service.ts,18,18,0
213,exploration-draft.model.ts,6,6,0
214,exploration-id-validation.service.ts,6,6,0
215,exploration-metadata.model.ts,4,4,0
216,exploration-permissions-backend-api.service.ts,11,11,0
217,exploration-permissions.model.ts,8,8,0
218,param-metadata.model.ts,6,6,0
219,read-only-exploration-backend-api.service.ts,31,31,0
220,state-interaction-stats-backend-api.service.ts,11,11,0
221,stats-reporting-backend-api.service.ts,26,26,0
222,visualization-info.model.ts,9,9,0
223,ThreadMessage.model.ts,16,16,0
224,ThreadMessageSummary.model.ts,4,4,0
225,feedback-message-summary.model.ts,12,12,0
226,FeedbackThreadObjectFactory.ts,21,21,0
227,feedback-thread-summary.model.ts,23,23,0
228,exploration-improvements-config.model.ts,15,15,0
229,exploration-task.model.ts,10,10,0
230,high-bounce-rate-task.model.ts,24,24,0
231,improvements.constants.ts,1,1,0
232,ineffective-feedback-loop-task.model.ts,17,17,0
233,needs-guiding-response-task.model.ts,20,20,0
234,successive-incorrect-answers-task.model.ts,17,17,0
235,task-entry.model.ts,22,22,0
236,learner-dashboard-activity-ids.model.ts,36,36,0
237,learner-dashboard-backend-api.service.ts,24,24,0
238,learner-dashboard-ids-backend-api.service.ts,8,8,0
239,learner-playlist-backend-api.service.ts,44,44,0
240,non-existent-activities.model.ts,7,7,0
241,FractionObjectFactory.ts,59,59,0
242,NumberWithUnitsObjectFactory.ts,99,96,3
243,UnitsObjectFactory.ts,93,93,0
244,objects-domain.constants.ajs.ts,4,4,0
245,objects-domain.constants.ts,1,1,0
246,ratio.model.ts,32,32,0
247,exploration-opportunity-summary.model.ts,15,15,0
248,featured-translation-language.model.ts,3,3,0
249,skill-opportunity.model.ts,9,9,0
250,client-context.model.ts,4,4,0
251,feature-status-summary.model.ts,22,22,0
252,platform-feature-admin-backend-api.service.ts,5,5,0
253,platform-feature-backend-api.service.ts,5,5,0
254,platform-feature-domain.constants.ts,1,1,0
255,platform-feature-dummy-backend-api.service.ts,9,9,0
256,platform-parameter-filter.model.ts,14,14,0
257,platform-parameter-rule.model.ts,8,8,0
258,platform-parameter.model.ts,15,15,0
259,promo-bar.model.ts,6,6,0
260,QuestionObjectFactory.ts,63,63,0
261,editable-question-backend-api.service.ts,43,43,0
262,pretest-question-backend-api.service.ts,16,14,2
263,question-backend-api.service.ts,45,45,0
264,question-domain.constants.ajs.ts,10,10,0
265,question-domain.constants.ts,1,1,0
266,question-summary-for-one-skill-object.model.ts,10,10,0
267,question-summary-object.model.ts,10,10,0
268,question-update.service.ts,66,55,11
269,exploration-recommendations-backend-api.service.ts,13,13,0
270,review-test-backend-api.service.ts,9,9,0
271,review-test-domain.constants.ts,1,1,0
272,review-test.model.ts,3,3,0
273,ConceptCardObjectFactory.ts,36,35,1
274,MisconceptionObjectFactory.ts,19,19,0
275,RubricObjectFactory.ts,10,10,0
276,ShortSkillSummaryObjectFactory.ts,7,7,0
277,SkillObjectFactory.ts,86,83,3
278,WorkedExampleObjectFactory.ts,10,10,0
279,assigned-skill.model.ts,5,5,0
280,augmented-skill-summary.model.ts,11,11,0
281,concept-card-backend-api.service.ts,38,38,0
282,skill-backend-api.service.ts,34,34,0
283,skill-creation-backend-api.service.ts,17,17,0
284,skill-difficulty.model.ts,10,10,0
285,skill-domain.constants.ajs.ts,23,23,0
286,skill-domain.constants.ts,1,1,0
287,skill-mastery-backend-api.service.ts,19,19,0
288,skill-mastery.model.ts,5,5,0
289,skill-rights-backend-api.service.ts,25,25,0
290,skill-rights.model.ts,8,8,0
291,skill-summary.model.ts,9,9,0
292,skill-update.service.ts,99,99,0
293,StateObjectFactory.ts,42,42,0
294,StateCardObjectFactory.ts,65,54,11
295,LearnerActionObjectFactory.ts,16,16,0
296,PlaythroughIssueObjectFactory.ts,19,19,0
297,PlaythroughObjectFactory.ts,25,25,0
298,exploration-stats.model.ts,29,29,0
299,learner-answer-details-backend-api.service.ts,8,8,0
300,learner-answer-details.model.ts,11,11,0
301,learner-answer-info.model.ts,10,10,0
302,playthrough-backend-api.service.ts,7,7,0
303,state-stats-model.ts,7,7,0
304,state-top-answers-stats-object.factory.ts,9,9,0
305,statistics-domain.constants.ts,1,1,0
306,StoryContentsObjectFactory.ts,139,126,13
307,StoryObjectFactory.ts,70,70,0
308,editable-story-backend-api.service.ts,48,32,16
309,story-domain.constants.ts,1,1,0
310,story-node.model.ts,92,84,8
311,story-summary.model.ts,23,23,0
312,story-update.service.ts,177,142,35
313,story-validation.service.ts,28,28,0
314,read-only-story-node.model.ts,25,25,0
315,story-playthrough.model.ts,19,19,0
316,story-viewer-backend-api.service.ts,22,22,0
317,story-viewer-domain.constants.ajs.ts,1,1,0
318,story-viewer-domain.constants.ts,1,1,0
319,ReadOnlySubtopicPageObjectFactory.ts,16,16,0
320,subtopic-viewer-backend-api.service.ts,14,14,0
321,subtopic-viewer-domain.constants.ts,1,1,0
322,SuggestionThreadObjectFactory.ts,31,31,0
323,suggestion.model.ts,14,14,0
324,creator-exploration-summary.model.ts,19,19,0
325,exploration-summary-backend-api.service.ts,24,24,0
326,learner-exploration-summary.model.ts,17,17,0
327,StoryReferenceObjectFactory.ts,8,8,0
328,SubtopicObjectFactory.ts,55,52,3
329,SubtopicPageContentsObjectFactory.ts,17,17,0
330,SubtopicPageObjectFactory.ts,21,20,1
331,TopicObjectFactory.ts,225,200,25
332,editable-topic-backend-api.service.ts,56,56,0
333,newly-created-story.model.ts,6,6,0
334,topic-creation-backend-api.service.ts,14,14,0
335,topic-domain.constants.ts,1,1,0
336,topic-rights-backend-api.service.ts,37,37,0
337,topic-rights.model.ts,18,18,0
338,topic-summary.model.ts,38,38,0
339,topic-update.service.ts,199,199,0
340,read-only-topic-object.factory.ts,43,43,0
341,topic-viewer-backend-api.service.ts,14,14,0
342,topic-viewer-domain.constants.ajs.ts,4,4,0
343,topic-viewer-domain.constants.ts,1,1,0
344,newly-created-topic.model.ts,7,7,0
345,topics-and-skills-dashboard-backend-api.service.ts,32,6,26
346,topics-and-skills-dashboard-domain.constants.ts,1,1,0
347,topics-and-skills-dashboard-filter.model.ts,9,9,0
348,profile-summary.model.ts,5,5,0
349,user-info.model.ts,20,20,0
350,user-profile.model.ts,15,15,0
351,audio-file.model.ts,2,2,0
352,audio-language.model.ts,4,4,0
353,autogenerated-audio-language.model.ts,6,6,0
354,browser-checker.service.ts,23,23,0
355,entity-context.model.ts,4,4,0
356,file-download-request.model.ts,2,2,0
357,image-file.model.ts,2,2,0
358,language-util.service.ts,54,53,1
359,stopwatch.model.ts,9,9,0
360,url-interpolation.service.ts,70,65,5
361,expression-evaluator.service.ts,17,16,1
362,expression-interpolation.service.ts,28,26,2
363,expression-parser.service.ts,4,4,0
364,expression-syntax-tree.service.ts,92,92,0
365,convert-html-to-unicode.filter.ts,5,5,0
366,convert-unicode-to-html.filter.ts,4,4,0
367,convert-unicode-with-params-to-html.filter.ts,33,33,0
368,format-rte-preview.filter.ts,12,12,0
369,format-rte-preview.pipe.ts,11,11,0
370,format-timer.filter.ts,7,7,0
371,format-timer.pipe.ts,6,1,5
372,parameterize-rule-description.filter.ts,129,35,94
373,remove-duplicates-in-array.pipe.ts,5,4,1
374,summarize-nonnegative-number.filter.ts,4,4,0
375,translate.pipe.ts,29,29,0
376,truncate-input-based-on-interaction-answer-type.filter.ts,11,8,3
377,camel-case-to-hyphens.filter.ts,6,6,0
378,camel-case-to-hyphens.pipe.ts,5,5,0
379,capitalize.filter.ts,6,6,0
380,capitalize.pipe.ts,5,5,0
381,convert-to-plain-text.filter.ts,9,9,0
382,convert-to-plain-text.pipe.ts,8,7,1
383,filter-for-matching-substring.pipe.ts,3,3,0
384,get-abbreviated-text.filter.ts,8,8,0
385,get-abbreviated-text.pipe.ts,7,7,0
386,normalize-whitespace-punctuation-and-case.pipe.ts,20,19,1
387,normalize-whitespace.filter.ts,8,8,0
388,normalize-whitespace.pipe.ts,7,7,0
389,replace-inputs-with-ellipses.filter.ts,4,4,0
390,replace-inputs-with-ellipses.pipe.ts,3,3,0
391,sort-by.pipe.ts,21,21,0
392,truncate-and-capitalize.filter.ts,13,12,1
393,truncate-and-capitalize.pipe.ts,12,11,1
394,truncate-at-first-ellipsis.filter.ts,7,7,0
395,truncate-at-first-ellipsis.pipe.ts,6,6,0
396,truncate-at-first-line.filter.ts,16,16,0
397,truncate-at-first-line.pipe.ts,15,15,0
398,truncate.filter.ts,13,10,3
399,truncate.pipe.ts,12,4,8
400,underscores-to-camel-case.filter.ts,4,4,0
401,underscores-to-camel-case.pipe.ts,3,3,0
402,wrap-text-with-ellipsis.filter.ts,10,10,0
403,wrap-text-with-ellipsis.pipe.ts,9,9,0
404,Base.ts,39,10,29
405,OppiaFooterDirective.ts,4,1,3
406,interaction-specs.constants.ajs.ts,1,1,0
407,interaction-specs.constants.ts,1,1,0
408,about-page.component.ts,38,38,0
409,about-page.constants.ts,1,1,0
410,admin-page.constants.ajs.ts,6,6,0
411,admin-page.constants.ts,1,1,0
412,admin-page.directive.ts,40,15,25
413,admin-dev-mode-activities-tab.component.ts,86,86,0
414,admin-prod-mode-activities-tab.component.ts,2,2,0
415,admin-config-tab.directive.ts,42,5,37
416,admin-features-tab.component.ts,95,95,0
417,admin-features-tab.constants.ts,3,3,0
418,admin-jobs-tab.component.ts,45,45,0
419,admin-misc-tab.directive.ts,167,7,160
420,admin-navbar.component.ts,34,34,0
421,admin-roles-tab.directive.ts,166,8,158
422,role-graph.directive.ts,26,4,22
423,admin-data.service.ts,9,9,0
424,admin-router.service.ts,15,15,0
425,admin-task-manager.service.ts,6,6,0
426,classroom-page.component.ts,30,30,0
427,collection-editor-page.constants.ajs.ts,3,3,0
428,collection-editor-page.constants.ts,1,1,0
429,collection-editor-page.directive.ts,24,7,17
430,collection-editor-tab.directive.ts,14,6,8
431,collection-node-creator.directive.ts,71,10,61
432,collection-node-editor.directive.ts,21,5,16
433,collection-history-tab.component.ts,2,2,0
434,collection-editor-navbar-breadcrumb.directive.ts,15,5,10
435,collection-editor-navbar.directive.ts,80,14,66
436,collection-editor-state.service.ts,53,33,20
437,collection-linearizer.service.ts,49,49,0
438,collection-details-editor.directive.ts,54,9,45
439,collection-permissions-card.directive.ts,11,11,0
440,collection-settings-tab.component.ts,2,2,0
441,collection-statistics-tab.component.ts,2,2,0
442,collection-editor-pre-publish-modal.controller.ts,41,41,0
443,collection-editor-save-modal.controller.ts,5,5,0
444,collection-player-page.directive.ts,154,12,142
445,collection-footer.component.ts,7,2,5
446,collection-local-nav.component.ts,11,11,0
447,collection-navbar.component.ts,9,2,7
448,collection-node-list.component.ts,4,4,0
449,contributor-dashboard-page.component.ts,80,80,0
450,contributor-dashboard-page.constants.ajs.ts,2,2,0
451,contributor-dashboard-page.constants.ts,1,1,0
452,contributions-and-review.component.ts,163,126,37
453,login-required-message.component.ts,14,14,0
454,login-required-modal.component.ts,3,3,0
455,question-suggestion-editor-modal.controller.ts,51,51,0
456,question-suggestion-review-modal.controller.ts,55,55,0
457,translation-modal.controller.ts,65,65,0
458,translation-suggestion-review-modal.controller.ts,58,58,0
459,opportunities-list.component.ts,45,2,43
460,opportunities-list-item.component.ts,16,16,0
461,question-opportunities.component.ts,66,66,0
462,contribution-and-review.service.ts,35,23,12
463,contribution-opportunities-backend-api.service.ts,30,26,4
464,contribution-opportunities.service.ts,34,12,22
465,question-suggestion.service.ts,11,11,0
466,translate-text.service.ts,77,73,4
467,translation-language-selector.component.ts,30,30,0
468,translation-opportunities.component.ts,45,45,0
469,voiceover-opportunities.component.ts,31,31,0
470,creator-dashboard-page.component.ts,145,145,0
471,creator-dashboard-page.constants.ajs.ts,5,5,0
472,creator-dashboard-page.constants.ts,1,1,0
473,create-activity-modal.controller.ts,16,16,0
474,upload-activity-modal.controller.ts,12,12,0
475,suggestion-modal-for-creator-view.controller.ts,40,40,0
476,suggestion-modal-for-creator-view.service.ts,35,35,0
477,delete-account-page.component.ts,13,13,0
478,delete-account-modal.controller.ts,10,10,0
479,donate-page.component.ts,17,17,0
480,email-dashboard-data.service.ts,39,36,3
481,email-dashboard-page.component.ts,52,52,0
482,email-dashboard-result.component.ts,70,70,0
483,error-page.component.ts,8,8,0
484,exploration-editor-page.component.ts,245,245,0
485,exploration-editor-page.constants.ajs.ts,17,17,0
486,exploration-editor-page.constants.ts,1,1,0
487,changes-in-human-readable-form.component.ts,1,1,0
488,editor-navbar-breadcrumb.component.ts,25,25,0
489,editor-navigation.component.ts,109,109,0
490,exploration-editor-tab.component.ts,157,157,0
491,exploration-graph.component.ts,32,32,0
492,state-graph-visualization.directive.ts,141,141,0
493,interaction-details-cache.service.ts,10,10,0
494,responses.service.ts,204,204,0
495,solution-validity.service.ts,12,12,0
496,solution-verification.service.ts,10,10,0
497,state-name-editor.component.ts,57,57,0
498,state-param-changes-editor.component.ts,4,4,0
499,add-answer-group-modal.controller.ts,41,41,0
500,add-hint-modal.controller.ts,14,14,0
501,add-or-update-solution-modal.controller.ts,34,34,0
502,confirm-delete-state-modal.controller.ts,4,4,0
503,customize-interaction-modal.controller.ts,151,151,0
504,exploration-graph-modal.controller.ts,12,12,0
505,teach-oppia-modal.controller.ts,62,62,0
506,test-interaction-panel.component.ts,18,18,0
507,training-data-editor-panel-modal.controller.ts,63,63,0
508,training-data-editor-panel.service.ts,23,23,0
509,training-data.service.ts,72,72,0
510,training-modal.controller.ts,61,61,0
511,training-modal.service.ts,23,23,0
512,training-panel.component.ts,36,36,0
513,unresolved-answers-overview.component.ts,39,39,0
514,exploration-objective-editor.component.ts,3,3,0
515,exploration-save-and-publish-buttons.component.ts,73,73,0
516,exploration-title-editor.component.ts,9,9,0
517,feedback-tab.component.ts,101,101,0
518,thread-data-backend-api.service.ts,82,82,0
519,thread-status-display.service.ts,13,13,0
520,create-feedback-thread-modal.controller.ts,14,14,0
521,thread-table.component.ts,10,10,0
522,history-tab.component.ts,128,128,0
523,revert-exploration-modal.controller.ts,7,7,0
524,compare-versions.service.ts,33,33,0
525,version-tree.service.ts,47,43,4
526,improvements-tab.component.ts,49,49,0
527,needs-guiding-responses-task.component.ts,7,7,0
528,improvement-modal.service.ts,15,15,0
529,editor-reloading-modal.controller.ts,5,5,0
530,exploration-metadata-modal.controller.ts,66,66,0
531,exploration-save-modal.controller.ts,11,11,0
532,help-modal.controller.ts,15,15,0
533,lost-changes-modal.controller.ts,6,6,0
534,post-publish-modal.controller.ts,20,20,0
535,save-validation-fail-modal.controller.ts,8,8,0
536,save-version-mismatch-modal.controller.ts,14,14,0
537,state-diff-modal.controller.ts,21,21,0
538,welcome-modal.controller.ts,9,9,0
539,param-changes-editor.component.ts,113,113,0
540,value-generator-editor.directive.ts,12,12,0
541,preview-tab.component.ts,76,76,0
542,preview-set-parameters-modal.controller.ts,4,4,0
543,angular-name.service.ts,4,4,0
544,autosave-info-modals.service.ts,25,25,0
545,change-list.service.ts,67,53,14
546,editor-first-time-events.service.ts,32,32,0
547,exploration-automatic-text-to-speech.service.ts,12,12,0
548,exploration-category.service.ts,11,11,0
549,exploration-correctness-feedback.service.ts,12,12,0
550,exploration-data-backend-api.service.ts,5,5,0
551,exploration-data.service.ts,67,67,0
552,exploration-diff.service.ts,100,98,2
553,exploration-init-state-name.service.ts,5,5,0
554,exploration-language-code.service.ts,14,14,0
555,exploration-objective.service.ts,11,11,0
556,exploration-param-changes.service.ts,5,5,0
557,exploration-param-specs.service.ts,5,5,0
558,exploration-property.service.ts,35,35,0
559,exploration-rights.service.ts,62,62,0
560,exploration-save.service.ts,160,40,120
561,exploration-states.service.ts,221,193,28
562,exploration-tags.service.ts,15,15,0
563,exploration-title.service.ts,11,11,0
564,exploration-warnings.service.ts,137,137,0
565,graph-data.service.ts,14,14,0
566,parameter-metadata.service.ts,91,91,0
567,populate-rule-content-ids.service.ts,15,15,0
568,router.service.ts,118,118,0
569,state-editor-refresh.service.ts,4,4,0
570,state-tutorial-first-time.service.ts,40,40,0
571,tutorial-events-backend-api.service.ts,6,6,0
572,user-email-preferences-backend-api.service.ts,7,7,0
573,user-email-preferences.service.ts,17,17,0
574,user-exploration-permissions.service.ts,14,14,0
575,settings-tab.component.ts,253,253,0
576,moderator-unpublish-exploration-modal.controller.ts,7,7,0
577,preview-summary-tile-modal.controller.ts,24,24,0
578,reassign-role-confirmation-modal.controller.ts,6,6,0
